"sample","specification","n","papers","beta1","beta2","se_beta2","ci95_low_beta2","ci95_high_beta2","r2","t_beta2_eq_1","p_beta2_eq_1"
"new data","Baseline",123,96,0.777566015047012,-0.404446675533692,0.42626108082269,-1.25068191399228,0.441788562924891,0.523746253655238,-3.2948039094329,0.00138507998811111
"new data","Discipline fixed effects",123,96,0.739775866873932,-0.350488537901111,0.420516152141207,-1.18531865092971,0.48434157512749,0.532987541253892,-3.21150217660991,0.00180260072104346
"new data","Original sample-size control",123,96,0.188739260745288,1.19044379369747,0.260655865708284,0.672976474730504,1.70791111266444,0.6598330281541,0.730633063560547,0.466801405364562
"new data","Flexible original size + discipline",123,96,0.144664996852619,1.07832752697401,0.272463051039884,0.537419981478912,1.61923507246911,0.689558998300814,0.287479446020537,0.774371400172272
"new data","Direct-statistic subset",111,87,0.734479853669519,-0.173909664641813,0.468378084161387,-1.10501447959893,0.757195150315308,0.514842309546645,-2.50632919075121,0.0140812853432973
"new data","Paper-level medians",96,96,0.77148185425603,-0.222196782500267,0.515512018302598,-1.24561753415464,0.80122396915411,0.537697711279726,-2.37084052186511,0.0197670372848312
"new data","Paper medians + original size",96,96,0.181030925731604,1.43511591897929,0.245007763635178,0.94871401035592,1.92151782760267,0.70759691372313,1.7759270666508,0.0789467923774224
"secondary data","Baseline",123,61,0.646250086555816,-2.80172906390574,0.844275816206222,-4.49053214024235,-1.11292598756912,0.353707575848755,-4.50294677512962,3.14760519086466e-05
"secondary data","Discipline fixed effects",123,61,0.725608737374689,-3.14232473370389,0.833550083044048,-4.8096731493567,-1.47497631805107,0.472947169530021,-4.96949711596992,5.91142983457616e-06
"secondary data","Original sample-size control",123,61,0.0714346968548902,-0.0276573226154303,0.343846834343614,-0.715453396459458,0.660138751228598,0.901515304542332,-2.98870665648901,0.00405598447161066
"secondary data","Flexible original size + discipline",123,61,0.103844034018552,-0.245385904948056,0.34317200866396,-0.931832126454833,0.441060316558721,0.909295728419331,-3.62904279342772,0.000589370736095666
"secondary data","Direct-statistic subset",120,58,0.643961487492583,-2.70981594971577,0.880306337982226,-4.47259898512014,-0.94703291431141,0.340576724779843,-4.21423292057529,9.03636927804937e-05
"secondary data","Paper-level medians",61,61,0.627444911581546,-3.22866938930949,0.939490390219504,-5.10792997066889,-1.34940880795008,0.356069758434884,-4.50102463349464,3.1689359329805e-05
"secondary data","Paper medians + original size",61,61,0.0843306956848441,-0.0362442839607692,0.640415060085829,-1.31726513383558,1.24477656591405,0.894114180977616,-1.61808231652437,0.110890422305514
