"claim_id","orig_conv_r","orig_sample_size_value","orig_stat_type","orig_stat_value","orig_stat_dof_1","paper_id","repli_type","repli_sample_size_value","repli_conv_r","repli_score_criteria_met","t_from_stat","t_from_r","t_orig","abs_t","t_source","discipline","safeguard_defined","markup_approx","r_sg","N_naive","N_safeguard","markup","ratio_obs_safeguard"
"d5v3_single-trace",0.0874042503469792,499,"z",1.959963985,NA,"d5v3","secondary data",1270,-0.0144993502085092,FALSE,1.959963985,1.95603225790118,1.959963985,1.959963985,"direct_stat","psychology and health",TRUE,3.07147035401443,0.0498722989644438,1025,3153,3.07609756097561,0.40279099270536
"dqKX_single-trace",0.82,201,"z",1.9599629203941,NA,"dqKX","new data",978,0.289624341523316,TRUE,1.9599629203941,20.2100991449351,1.9599629203941,1.9599629203941,"direct_stat","education",TRUE,3.07147286508755,0.467886496040945,9,33,3.66666666666667,29.6363636363636
"dxQp_single-trace",-0.00940455632879453,160274,NA,-3.29052660793568,NA,"dxQp","secondary data",110747,-0.015837971916941,TRUE,NA,-3.76518523373065,-3.76518523373065,3.76518523373065,"r_conversion","sociology and criminology",TRUE,1.65862223326385,-0.00730238238321058,88740,147187,1.65863195853054,0.752423787426879
"e227_single-trace",-0.127423441917805,25,"z",-2.57582917221437,NA,"e227","secondary data",27,-0.460613699726346,TRUE,-2.57582917221437,-0.616123748356056,-2.57582917221437,2.57582917221437,"direct_stat","sociology and criminology",TRUE,2.20613342664868,-0.085789363256922,481,1064,2.21205821205821,0.0253759398496241
"e3G7_single-trace",0.189619445943952,263,"t",3.12,261,"e3G7","new data",379,0.160981441030226,TRUE,3.12,3.12,3.12,3.12,"direct_stat","psychology and health",TRUE,1.87524207598314,0.138469525429606,216,407,1.88425925925926,0.931203931203931
"eOQm_single-trace",0.283261719942443,77,"F",6.63,1,"eOQm","new data",484,0.0121233792480166,FALSE,2.57487863791675,2.55788255357722,2.57487863791675,2.57487863791675,"direct_stat","psychology and health",TRUE,2.20692411443966,0.190675189978909,95,213,2.24210526315789,2.27230046948357
"eg1q_single-trace",0.236128411962756,102,"t",2.43,100,"eg1q","new data",1125,-0.0723803937720815,FALSE,2.43,2.43,2.43,2.43,"direct_stat","business",TRUE,2.34047712962672,0.154346236918432,138,327,2.3695652173913,3.44036697247706
"eg3p_single-trace",-0.259876134930286,138,"z",-3.15,NA,"eg3p","new data",497,-0.0102820909822934,FALSE,-3.15,-3.13848259397766,-3.15,3.15,"direct_stat","business",TRUE,1.86211700427755,-0.190442079928322,114,214,1.87719298245614,2.32242990654206
"egX9_single-trace",-0.275398034968722,342,"t",-5.29786960197729,332,"egX9","new data",410,-0.153011533664238,TRUE,-5.29786960197729,-5.28235604128745,-5.29786960197729,5.29786960197729,"direct_stat","psychology and health",TRUE,1.41339565854339,-0.231648216394964,101,144,1.42574257425743,2.84722222222222
"exd7_single-trace",0.560455284994345,41,"t",4.28,40,"exd7","new data",96,0.117275221909565,FALSE,4.28,4.22616137884014,4.28,4.28,"direct_stat","business",TRUE,1.54945905967166,0.450247091461775,22,36,1.63636363636364,2.66666666666667
"gRWz_single-trace",0.39,5867,"z",4.246667,NA,"gRWz","new data",2438,0.0309039537047658,FALSE,4.246667,32.4359257521063,4.246667,4.246667,"direct_stat","psychology and health",TRUE,1.55543013109808,0.312708260126486,49,78,1.59183673469388,31.2564102564103
"gbg4_single-trace",0.274075483931013,197,"z",4,NA,"gbg4","new data",924,0.0946399505567753,TRUE,4,3.9796436337663,4,4,"direct_stat","psychology and health",TRUE,1.60395271173717,0.216408547211485,102,165,1.61764705882353,5.6
"gbl9_single-trace",0.353121902752396,63,"F",8.69,1,"gbl9","new data",305,0.0105049068716027,FALSE,2.94788059459674,2.94788059459673,2.94788059459674,2.94788059459674,"direct_stat","psychology and health",TRUE,1.95882699129027,0.252305440938839,60,121,2.01666666666667,2.52066115702479
"jDWN_single-trace",0.109427452542079,2347,"z",5.33333333333333,NA,"jDWN","secondary data",729,0.275,TRUE,5.33333333333333,5.33106044453063,5.33333333333333,5.33333333333333,"direct_stat","business",TRUE,1.40985234781175,0.0921593648679777,653,921,1.4104134762634,0.791530944625407
"jLr_single-trace",0.422425675803616,76,"t",3.61,60,"jLr","new data",113,-0.124843686355194,FALSE,3.61,4.00910505391582,3.61,3.61,"direct_stat","psychology and health",TRUE,1.70044811389824,0.323943011437214,41,72,1.75609756097561,1.56944444444444
"kXp8_single-trace",0.242023645897221,206,"t",3.57142857142857,NA,"kXp8","secondary data",174,0.149325186293037,TRUE,3.57142857142857,3.56270712111747,3.57142857142857,3.57142857142857,"direct_stat","business",TRUE,1.71166962430665,0.184989818861347,131,227,1.73282442748092,0.766519823788546
"lJ0w_single-trace",0.314522152741235,475,"z",7.22133308868003,NA,"lJ0w","new data",170,0.598,TRUE,7.22133308868003,7.20611424544398,7.22133308868003,7.22133308868003,"direct_stat","business",TRUE,1.28124630915905,0.277865690710556,77,99,1.28571428571429,1.71717171717172
"lkBL_single-trace",0.461137039957343,42,"F",10.263,1,"lkBL","new data",437,0.0507930292076355,FALSE,3.20359173428825,3.28681576829868,3.20359173428825,3.20359173428825,"direct_stat","psychology and health",TRUE,1.83960842687991,0.339990915043493,34,65,1.91176470588235,6.72307692307692
"mBL1_single-trace",-0.989165417001443,20,"z",-30.133,NA,"mBL1","new data",20,-0.949011215861047,TRUE,-30.133,-28.5866738201561,-30.133,30.133,"direct_stat","psychology and health",TRUE,1.05829102669313,-0.961537812101021,4,5,1.25,4
"mJDj_single-trace",0.0415592170081854,2664,"t",2.142857,2654,"mJDj","secondary data",37148,-0.02304833,FALSE,2.142857,2.14608419610564,2.142857,2.142857,"direct_stat","psychology and health",TRUE,2.71190452755656,0.0252365601604566,4542,12321,2.71268163804491,3.01501501501502
"mrZ_single-trace",0.222410928590033,88,"z",2.14,NA,"mrZ","new data",750,-0.00697416428463681,FALSE,2.14,2.1155420538997,2.14,2.14,"direct_stat","business",TRUE,2.71659400387983,0.134940947244219,156,428,2.74358974358974,1.75233644859813
"mxyQ_single-trace",-0.157100807230133,549,"z",-3.72727272727273,NA,"mxyQ","new data",738,0.0242877689400893,FALSE,-3.72727272727273,-3.72047732922831,-3.72727272727273,3.72727272727273,"direct_stat","political science",TRUE,1.66837850023347,-0.121627316329168,315,528,1.67619047619048,1.39772727272727
"pN7E_single-trace",0.0223416154247098,7741,"z",1.96617206395382,NA,"pN7E","secondary data",7101,0.0125007998144515,FALSE,1.96617206395382,1.9659180529633,1.96617206395382,1.96617206395382,"direct_stat","sociology and criminology",TRUE,3.05692554588786,0.0127782723793691,15722,48066,3.05724462536573,0.147734365247784
"plLK_single-trace",0.268255573645216,62,"F",4.73,1,"plLK","new data",403.237,0.0114198499162639,FALSE,2.17485631709315,2.15695596069865,2.17485631709315,2.17485631709315,"direct_stat","business",TRUE,2.6610171522079,0.16444660703456,106,288,2.71698113207547,1.40012847222222
"pw3m_single-trace",0.629999973711981,25,"t",3.890539,23,"pw3m","secondary data",48,0.156631136437094,FALSE,3.890539,3.890539,3.890539,3.890539,"direct_stat","education",TRUE,1.62827638518601,0.493715167152689,17,30,1.76470588235294,1.6
"q8xv_22jnnj",0.565418356265046,17554,"t",6.169664,81,"q8xv","secondary data",21945,0.127257187325096,FALSE,6.169664,90.8201696188323,6.169664,6.169664,"direct_stat","economics and finance",TRUE,1.34087292561113,0.488288046659117,22,30,1.36363636363636,731.5
"q8xv_524ll2",-0.520973710623285,17554,"t",-5.4931036,81,"q8xv","secondary data",21945,-0.0724493186041142,FALSE,-5.4931036,-80.8609027470245,-5.4931036,5.4931036,"direct_stat","economics and finance",TRUE,1.3946101509734,-0.441153163092773,26,38,1.46153846153846,577.5
"q8xv_827ww4",-0.589880926564314,17554,"t",-6.5746037,81,"q8xv","secondary data",21945,-0.14912766903628,FALSE,-6.5746037,-96.7810602344961,-6.5746037,6.5746037,"direct_stat","economics and finance",TRUE,1.31515800438986,-0.514369711633414,20,27,1.35,812.777777777778
"q8xv_l88v4q",-0.535871710241,393,"t",-5.7122453,81,"q8xv","secondary data",491,-0.0535252616660195,FALSE,-5.7122453,-12.5502598613805,-5.7122453,5.7122453,"direct_stat","economics and finance",TRUE,1.37544895383218,-0.456918341447497,25,35,1.4,14.0285714285714
"q8xv_single-trace",-0.535871710241,393,"t",-5.7122453,81,"q8xv","secondary data",391,-0.535702484320265,TRUE,-5.7122453,-12.5502598613805,-5.7122453,5.7122453,"direct_stat","economics and finance",TRUE,1.37544895383218,-0.456918341447497,25,35,1.4,11.1714285714286
"qPxQ_single-trace",-0.10465934237851,2001,"t",-4.704001,1998,"qPxQ","new data",3281,0.0989659369293586,FALSE,-4.704001,-4.7051780301698,-4.704001,4.704001,"direct_stat","psychology and health",TRUE,1.48328588558175,-0.0859341072355899,714,1060,1.48459383753501,3.09528301886792
"qXX2_single-trace",-0.00695673661743462,27,"t",-4.03,NA,"qXX2","secondary data",28,0.00816817620497752,FALSE,-4.03,-0.0347845248164954,-4.03,4.03,"direct_stat","sociology and criminology",TRUE,1.59760818127337,-0.00550389858924425,162177,259096,1.59761248512428,0.000108068051996171
"qYr7_1rzq75",-0.425506221777059,2673,"t",-10.26923,477,"qYr7","secondary data",4309,-0.453859347132466,TRUE,-10.26923,-24.3005238221977,-10.26923,10.26923,"direct_stat","political science",TRUE,1.18651343077553,-0.390633590502372,41,49,1.19512195121951,87.9387755102041
"qYr7_4k31n8",-0.593436870596286,7554,"t",-24.11765,1070,"qYr7","secondary data",5704,-0.457170266704893,TRUE,-24.11765,-64.0728570812852,-24.11765,24.11765,"direct_stat","political science",TRUE,1.07362398727996,-0.572728009198974,20,21,1.05,271.619047619048
"qYr7_9oj2rd",-0.412945891459356,5659,"t",-16.57895,1337,"qYr7","secondary data",5881,-0.397976711450355,TRUE,-16.57895,-34.1023578653324,-16.57895,16.57895,"direct_stat","political science",TRUE,1.10981862311414,-0.391982921514403,43,48,1.11627906976744,122.520833333333
"qYr7_j6d39n",-0.31173486616413,3388,"t",-10.33333,992,"qYr7","secondary data",6550,-0.368325780588767,TRUE,-10.33333,-19.0909675668607,-10.33333,10.33333,"direct_stat","political science",TRUE,1.18520040007128,-0.286344920947173,78,93,1.19230769230769,70.4301075268817
"qYr7_single-trace",-0.23415754483131,933,"t",-7.35294117647059,NA,"qYr7","secondary data",3054,0.0699140182329059,FALSE,-7.35294117647059,-7.34899540684034,-7.35294117647059,7.35294117647059,"direct_stat","political science",TRUE,1.27521705424476,-0.207355758035849,141,180,1.27659574468085,16.9666666666667
"qYr7_ywrd82",-0.274516052575882,5841,"t",-8.545455,896,"qYr7","secondary data",6038,-0.388608703250633,TRUE,-8.545455,-21.814759245357,-8.545455,8.545455,"direct_stat","political science",TRUE,1.23042905274971,-0.247479629260274,102,126,1.23529411764706,47.9206349206349
"qgWj_9olz6z",0.662431921675119,118,"t",9.4,113,"qgWj","secondary data",31,0.632784197516548,TRUE,9.4,9.52396139786195,9.4,9.4,"direct_stat","political science",TRUE,1.20634825709297,0.603121626879557,15,19,1.26666666666667,1.63157894736842
"qgWj_j6qlvv",0.0170025352059406,73175,"t",4.6,NA,"qgWj","secondary data",59584,0.0462432939789915,TRUE,4.6,4.5999371365708,4.6,4.6,"direct_stat","political science",TRUE,1.49800951434329,0.0138917320203122,27148,40669,1.49804773832327,1.4650962649684
"qgWj_pplx84",0.0365732183140205,73175,"t",9.9,NA,"qgWj","secondary data",60452,0.0397457058994287,TRUE,9.9,9.89986470696758,9.9,9.9,"direct_stat","political science",TRUE,1.19445402054056,0.033464046888447,5865,7006,1.19454390451833,8.62860405366829
"qgWj_q76z8j",0.0214361518106416,73175,"t",5.8,NA,"qgWj","secondary data",60452,0.0529212471663375,TRUE,5.8,5.79992073741535,5.8,5.8,"direct_stat","political science",TRUE,1.36828507234457,0.0183256137882402,17078,23369,1.36836866143577,2.58684582138731
"qgWj_single-trace",0.481787661311874,73175,"t",4.6,NA,"qgWj","secondary data",45119,0.199174712177886,FALSE,4.6,148.725090591428,4.6,4.6,"direct_stat","political science",TRUE,1.49800951434329,0.393639242652416,31,48,1.54838709677419,939.979166666667
"qgWj_x61xpy",0.0170025352059406,73175,"t",4.6,NA,"qgWj","secondary data",59584,0.0158113220296003,TRUE,4.6,4.5999371365708,4.6,4.6,"direct_stat","political science",TRUE,1.49800951434329,0.0138917320203122,27148,40669,1.49804773832327,1.4650962649684
"rjb_single-trace",0.172747895837503,174,"t",2.28,169,"rjb","new data",813,0.162596844673202,TRUE,2.28,2.30014766698593,2.28,2.28,"direct_stat","psychology and health",TRUE,2.51259891196855,0.108981098823519,260,658,2.53076923076923,1.2355623100304
"rpq_single-trace",0.520582258428718,48,"t",4.18,47,"rpq","new data",55,-0.349370452308209,TRUE,4.18,4.13529283225634,4.18,4.18,"direct_stat","psychology and health",TRUE,1.56776637192707,0.415765731511266,26,43,1.65384615384615,1.27906976744186
"vGqL_single-trace",0.508784847386148,7840,NA,3.29052717000779,NA,"vGqL","secondary data",6904,0.492590295886733,TRUE,NA,52.3223526726738,52.3223526726738,52.3223526726738,"r_conversion","sociology and criminology",TRUE,1.03296381920707,0.500600885675573,28,29,1.03571428571429,238.068965517241
"w5dv_single-trace",0.262133207116811,173,"F",5.46,2,"w5dv","new data",740,0.0793511242148036,FALSE,NA,3.55204547085578,3.55204547085578,3.55204547085578,"r_conversion","business",TRUE,1.7174436195497,0.200023396039161,112,194,1.73214285714286,3.81443298969072
"wRvv_bz6lqp",0.126870702316418,110732,"t",33.438,NA,"wRvv","secondary data",90130,0.139216896272995,TRUE,33.438,42.5615729190972,33.438,33.438,"direct_stat","political science",TRUE,1.05230558565448,0.123677416922919,485,510,1.05154639175258,176.725490196078
