"repli_type","n","papers","median_abs_t","iqr_abs_t","median_naive","iqr_naive","median_observed","iqr_observed","median_markup","iqr_markup","median_ratio","iqr_ratio","pct_below"
"new data",123,96,2.85832118559129,1.34814170194937,101,141,477,556,2.03809523809524,0.694536308665499,1.92920353982301,1.98945659213617,20.3252032520325
"secondary data",123,61,4.6,4.92989566092095,482,3015.5,3238,21721,1.49804773832327,0.54142656404872,3.1044776119403,22.8039610396188,30.8943089430894
