"specification","discipline","n","papers","beta2","se","joint_interaction_p"
"Portfolio","business",33,33,-0.21486273123008,0.453473796933459,0.0387067648255862
"Portfolio","economics and finance",18,11,-1.00065720924182,0.731283069413022,0.0387067648255862
"Portfolio","Other",7,7,2.34966367684458,1.13199118408635,0.0387067648255862
"Portfolio","psychology and health",65,45,-0.847487202603281,0.33191412406072,0.0387067648255862
"Original-size conditioned","business",33,33,1.25651576993243,0.540505728252162,0.377746356850375
"Original-size conditioned","economics and finance",18,11,0.869828775568127,0.522638501808664,0.377746356850375
"Original-size conditioned","Other",7,7,1.80145614691455,0.357813058090855,0.377746356850375
"Original-size conditioned","psychology and health",65,45,0.915668434569689,0.34360907133965,0.377746356850375
