"tercile","repli_type","n","min_t","max_t","median_markup_exact","median_markup_approx","median_abs_approx_error_pct","max_abs_approx_error_pct","median_ratio","pct_below"
1,"new data",41,1.714156,2.564641,2.7013251783894,2.65747493919352,0.881398986857418,16.2325582248849,1.09002433090024,46.3414634146341
1,"secondary data",41,1.46519838641943,3.731844,2.1743119266055,2.15629309851348,0.0980944048980898,10.1668771537066,0.540084388185654,65.8536585365854
2,"new data",41,2.564641,3.48979591836735,2.03809523809524,2.00881286292524,1.56911226677559,10.5401685301841,2.27230046948357,12.1951219512195
2,"secondary data",41,3.75,6.25,1.49804773832327,1.49800951434329,0.135102517522457,10.2918209413699,2.03829160530191,21.9512195121951
3,"new data",41,3.518,65.69,1.51612903225806,1.48328588558175,1.79447658934751,15.3367178645496,3.34883720930233,2.4390243902439
3,"secondary data",41,6.267,68.32,1.18410852713178,1.18101805945261,0.154808076960702,12.2017981734443,23.5438596491228,4.8780487804878
