"claim_id","orig_conv_r","orig_sample_size_value","orig_stat_type","orig_stat_value","orig_stat_dof_1","repli_type","repli_sample_size_value","repli_conv_r","repli_score_criteria_met","t_from_stat","t_from_r","t_orig","t_source","abs_t","safeguard_defined","markup_closedform","r_sg","N_naive","N_safeguard_exact","N_safeguard_closedform","ratio_obs_safeguard","met_safeguard"
"0qar_single-trace",0.376583421066466,43,"t",2.634483,NA,"new data",127,0.00731157824858961,FALSE,2.634483,2.60293116719653,2.634483,"direct_stat",2.634483,TRUE,2.15922146706924,0.256278752795284,53,117,114.43873775467,1.08547008547009,TRUE
"0wWk_single-trace",-0.121488416475355,217504,"z",-27.23926,NA,"secondary data",319719,-0.109040209815738,TRUE,-27.23926,-57.0814972966258,-27.23926,"direct_stat",27.23926,TRUE,1.06478137775618,-0.117734745085647,529,564,563.269348833017,566.877659574468,TRUE
"1574_single-trace",0.573546348617737,157,"chi_squared",51.646,NA,"new data",198,0.697565292994517,TRUE,NA,8.71683208118627,8.71683208118627,"r_conversion",8.71683208118627,TRUE,1.22516048017029,0.518169718560042,21,27,25.7283700835761,7.33333333333333,TRUE
"1VeW_single-trace",0.657411980257235,14,"z",3.334512,NA,"new data",32,0.0758085689763753,FALSE,3.334512,3.02222583983522,3.334512,"direct_stat",3.334512,TRUE,1.78919662939632,0.491483088176563,15,30,26.8379494409448,1.06666666666667,TRUE
"1X9W_single-trace",0.279999967414749,62,"t",2.25924,60,"new data",545,-0.11201578830889,FALSE,2.25924,2.25924,2.25924,"direct_stat",2.25924,TRUE,2.53983690715312,0.175693245695951,97,252,246.364179993853,2.16269841269841,TRUE
"2GKO_single-trace",0.188468793276488,189,"z",2.638298,NA,"secondary data",256,-0.168732979192426,FALSE,2.638298,2.62430162539877,2.638298,"direct_stat",2.638298,TRUE,2.15629309851348,0.128346950221853,218,474,470.071895475939,0.540084388185654,FALSE
"2lb5_single-trace",0.199674088073175,575,"t",4.8821664,574,"secondary data",493,0.49518296281841,TRUE,4.8821664,4.87791178795004,4.8821664,"direct_stat",4.8821664,TRUE,1.45997434179805,0.165252903183472,194,285,283.235022308822,1.72982456140351,TRUE
"347d_single-trace",-0.401536214943313,181,"t",-5.75,172,"new data",105,-0.3376624031199,TRUE,-5.75,-5.86583897328124,-5.75,"direct_stat",5.75,TRUE,1.3723331428667,-0.342763796761611,46,64,63.1273245718682,1.640625,TRUE
"4q0L_single-trace",0.215484454919733,350,"t",3.731844,286,"secondary data",150,0.206580480169483,TRUE,3.731844,4.11651864033348,3.731844,"direct_stat",3.731844,TRUE,1.66718704329722,0.16688748978257,166,279,276.753049187339,0.53763440860215,FALSE
"521q_single-trace",-0.173664496601946,225,"z",-2.645161,NA,"new data",722,-0.013768668868103,FALSE,-2.645161,-2.63337848708155,-2.645161,"direct_stat",2.645161,TRUE,2.15106124920549,-0.11840898366419,258,557,554.973802295016,1.29622980251347,TRUE
