"sample","power","gamma","n","median_markup","median_ratio","pct_below","beta2","se"
"new data",0.8,0.6,125,1.21666666666667,3.51612903225806,5.6,-2.13434979188559,0.611939235516741
"secondary data",0.8,0.6,123,1.11997200530426,4,25.2032520325203,-11.2643691691623,3.54531561513542
"new data",0.8,0.8,123,2.03809523809524,1.92920353982301,20.3252032520325,-0.404446675533692,0.42626108082269
"secondary data",0.8,0.8,123,1.49804773832327,3.1044776119403,30.8943089430894,-2.80172906390574,0.844275816206222
"new data",0.9,0.6,125,1.2112676056338,2.65384615384615,7.2,-1.98436030072191,0.685137847229524
"secondary data",0.9,0.6,123,1.1219512195122,3.02702702702703,29.2682926829268,-11.4610405216557,3.44717817881937
"new data",0.9,0.8,123,2.04761904761905,1.45169712793734,30.8943089430894,-0.362727054394972,0.44420108194563
"secondary data",0.9,0.8,123,1.49806014913463,2.33707865168539,34.1463414634146,-2.77617979905948,0.840889960909004
