"power","gamma","n","median_markup","median_ratio","share_below","beta2"
0.8,0.6,125,1.21666666666667,3.51612903225806,5.6,-2.81388939732219
0.9,0.6,125,1.2112676056338,2.65384615384615,7.2,-2.73334090969013
0.8,0.8,123,2.03809523809524,1.92920353982301,20.3252032520325,-0.88132636669953
0.9,0.8,123,2.04761904761905,1.45169712793734,30.8943089430894,-0.873475552066826
