"sample","n","papers","beta_restricted","beta_full","gamma_original_n","pi_markup","omitted_scale_component","reconstructed_restricted","partial_cor_markup_original_n"
"All new-data claims",123,96,-0.404446675533692,1.19044379369747,0.660626283312065,-2.41420983318306,-1.59489046923116,-0.404446675533692,-0.692223460073048
"Direct-statistic subset",111,87,-0.173909664641813,1.34049528907234,0.656755819578593,-2.3058873763553,-1.51440495371416,-0.173909664641813,-0.652939193899978
