"rho","median_N","selected","rule","portfolio","conditioned","attainment","median_ratio","mcse_portfolio","mcse_conditioned"
0.1,100,FALSE,"capped_safeguard",-0.0134726281318988,-0.110356111676636,0.113292624534237,0.341290269927439,0.00141265140324327,0.00408020664495956
0.3,100,FALSE,"capped_safeguard",0.070880743175234,-0.28924333323864,0.435923043064348,0.968252444729131,0.00952516343624572,0.0109828095140681
0.1,500,FALSE,"capped_safeguard",-0.0268476334597672,-0.0404971115454925,0.0467313124329871,0.321036434237414,0.00139081113261008,0.00230707438679099
0.3,500,FALSE,"capped_safeguard",0.61055288894251,0.155934546382771,0.507200753768844,0.99769587139575,0.0365773189014341,0.0560306543674868
0.1,100,TRUE,"capped_safeguard",0.668027794831205,-0.288326246187598,0.297865546676141,0.889622020776973,0.0208994865590812,0.162669591930774
0.3,100,TRUE,"capped_safeguard",0.97076292206691,0.815062727715224,0.498112209976672,0.994661854750822,0.00674222964512752,0.025524923114531
0.1,500,TRUE,"capped_safeguard",0.0256547033634635,-0.295971451302422,0.0620023159971947,0.471960426581588,0.00490508827203994,0.0289507471504448
0.3,500,TRUE,"capped_safeguard",0.938678460188337,0.752108895882887,0.505693841739296,0.997131742309199,0.0107227459545899,0.034905811269393
0.1,100,FALSE,"original_size",-0.344553726254957,-0.00138183198494094,0.0850933650215424,0.162806332499204,0.006992930980139,0.00185949133160783
0.3,100,FALSE,"original_size",-0.799856663753313,-0.00417713938486077,0.614710017920593,1.44022126713131,0.0278530634571759,0.00292668813934017
0.1,500,FALSE,"original_size",-0.60561873572851,-0.00320768362615424,0.398193097897418,0.708065107667642,0.0172479852910665,0.00207958478543527
0.3,500,FALSE,"original_size",-4.27309985360179,0.0184362710553198,0.974731155778894,9.25634044785425,0.138797205992062,0.015726921986751
0.1,100,TRUE,"original_size",-2.04548725515749,-0.0199929506694613,0.262305246886877,0.650665216163537,0.0161128773889121,0.105111307408128
0.3,100,TRUE,"original_size",-2.90420218628444,-0.00797256111089369,0.728334009376788,1.80502973583463,0.0127597053478645,0.0254242298860795
0.1,500,TRUE,"original_size",-2.56755524284031,0.0351345293998069,0.562659460874032,1.1578527317937,0.011556795970044,0.0339485698596065
0.3,500,TRUE,"original_size",-5.47849905768842,0.0118801627355462,0.980126048879242,9.3713875886964,0.038279935570722,0.0244177237858613
0.1,100,FALSE,"point",-0.00218139843557716,-0.00139865391690998,0,0.231915083424835,0.00115888740132949,0.00186818182011694
0.3,100,FALSE,"point",-0.00105448544335484,-0.00420606032111682,0.00413320268022149,0.533483252537969,0.00201023077135452,0.0029255887673267
0.1,500,FALSE,"point",-0.00206362137636081,-0.00323075359938266,0.000901922761034171,0.433664205988129,0.0013764734971635,0.00207842216506605
0.3,500,FALSE,"point",-0.00106951968551162,0.0188321234009901,0.0627929648241206,0.75643176352581,0.00714076302338461,0.0156610633015783
0.1,100,TRUE,"point",0.005263801694645,-0.0236021758456452,0,0.430163021714094,0.0130689053422494,0.105229854138561
0.3,100,TRUE,"point",0.00580322786167038,-0.00503465636888596,0.00521970735384227,0.56833453477892,0.00649334345875742,0.0254706414928528
0.1,500,TRUE,"point",-0.00257834250943436,0.0351509019765429,0.00130031117698488,0.509094081922409,0.0076581039849162,0.0339361054058334
0.3,500,TRUE,"point",-0.00404782757427453,0.0116133839767774,0.0629705402077954,0.757881704556274,0.00932805201045376,0.0244771023949793
0.1,100,FALSE,"safeguard",0.997816436651679,0.99862106988275,0.509328539128969,1.00191838771351,0.00115756886954006,0.00186226156264582
0.3,100,FALSE,"safeguard",0.998847572882355,0.995815491794269,0.511968231394017,0.99933623001529,0.00200983884136316,0.00292391031471976
0.1,500,FALSE,"safeguard",0.997930180777489,0.996768569452251,0.500174504944429,0.999080791979193,0.00137682007595228,0.0020788935348703
0.3,500,FALSE,"safeguard",0.998954709094688,1.01812593462734,0.513704773869347,0.999721738237775,0.00709555252082725,0.0157275006768849
0.1,100,TRUE,"safeguard",1.00543654482164,0.980262519917261,0.503036199872711,1.00142665856369,0.0130681850665031,0.105178107373888
0.3,100,TRUE,"safeguard",1.00554760773175,0.993291399610965,0.511707964197112,0.99975513157731,0.00651045975477712,0.0254734193395881
0.1,500,TRUE,"safeguard",0.997458880750327,1.03497171119917,0.499179056993752,0.999551895543416,0.00765751485551708,0.0339373876512302
0.3,500,TRUE,"safeguard",0.996296330383931,1.01166420358997,0.509212526340583,0.998241638243671,0.00935864495241447,0.0244519728766767
