"rho","median_N","selected","rep","retained","solver_excluded"
0.3,100,FALSE,87,195,0
0.3,100,FALSE,88,191,0
0.3,100,FALSE,89,191,0
0.3,100,FALSE,90,194,0
0.3,100,FALSE,91,189,0
0.3,100,FALSE,92,195,0
0.3,100,FALSE,93,186,0
0.3,100,FALSE,94,195,0
0.3,100,FALSE,95,190,0
0.3,100,FALSE,96,188,0
0.3,100,FALSE,97,187,0
0.3,100,FALSE,98,183,0
0.3,100,FALSE,99,191,0
0.3,100,FALSE,100,191,0
0.1,500,FALSE,1,178,1
0.1,500,FALSE,2,175,1
0.1,500,FALSE,3,179,0
0.1,500,FALSE,4,176,0
0.1,500,FALSE,5,188,0
0.1,500,FALSE,6,177,0
0.1,500,FALSE,7,180,0
0.1,500,FALSE,8,173,0
0.1,500,FALSE,9,172,0
0.1,500,FALSE,10,178,0
0.1,500,FALSE,11,177,0
0.1,500,FALSE,12,176,0
0.1,500,FALSE,13,172,0
0.1,500,FALSE,14,182,0
0.1,500,FALSE,15,177,0
0.1,500,FALSE,16,172,0
0.1,500,FALSE,17,169,0
0.1,500,FALSE,18,176,0
0.1,500,FALSE,19,179,0
0.1,500,FALSE,20,174,0
0.1,500,FALSE,21,178,0
0.1,500,FALSE,22,170,0
0.1,500,FALSE,23,177,0
0.1,500,FALSE,24,171,0
0.1,500,FALSE,25,185,0
0.1,500,FALSE,26,175,0
0.1,500,FALSE,27,181,0
0.1,500,FALSE,28,184,0
0.1,500,FALSE,29,179,0
0.1,500,FALSE,30,175,0
0.1,500,FALSE,31,179,0
0.1,500,FALSE,32,173,0
0.1,500,FALSE,33,185,0
0.1,500,FALSE,34,176,0
0.1,500,FALSE,35,177,0
0.1,500,FALSE,36,175,0
0.1,500,FALSE,37,179,0
0.1,500,FALSE,38,174,0
0.1,500,FALSE,39,178,0
0.1,500,FALSE,40,183,0
0.1,500,FALSE,41,176,0
0.1,500,FALSE,42,175,0
0.1,500,FALSE,43,182,0
0.1,500,FALSE,44,174,0
0.1,500,FALSE,45,174,0
0.1,500,FALSE,46,176,0
0.1,500,FALSE,47,179,0
0.1,500,FALSE,48,178,0
0.1,500,FALSE,49,173,0
0.1,500,FALSE,50,182,0
0.1,500,FALSE,51,176,0
0.1,500,FALSE,52,188,0
0.1,500,FALSE,53,177,0
0.1,500,FALSE,54,175,0
0.1,500,FALSE,55,179,0
0.1,500,FALSE,56,184,0
0.1,500,FALSE,57,170,0
0.1,500,FALSE,58,168,0
0.1,500,FALSE,59,178,0
0.1,500,FALSE,60,174,0
0.1,500,FALSE,61,171,0
0.1,500,FALSE,62,184,0
0.1,500,FALSE,63,186,0
0.1,500,FALSE,64,169,0
0.1,500,FALSE,65,176,0
0.1,500,FALSE,66,174,1
0.1,500,FALSE,67,181,0
0.1,500,FALSE,68,177,0
0.1,500,FALSE,69,177,0
0.1,500,FALSE,70,179,0
0.1,500,FALSE,71,170,0
0.1,500,FALSE,72,179,0
0.1,500,FALSE,73,170,0
0.1,500,FALSE,74,169,0
0.1,500,FALSE,75,182,0
0.1,500,FALSE,76,181,0
0.1,500,FALSE,77,180,0
0.1,500,FALSE,78,177,0
0.1,500,FALSE,79,180,0
0.1,500,FALSE,80,180,0
0.1,500,FALSE,81,177,0
0.1,500,FALSE,82,179,0
0.1,500,FALSE,83,185,0
0.1,500,FALSE,84,169,0
0.1,500,FALSE,85,177,0
0.1,500,FALSE,86,187,0
0.1,500,FALSE,87,178,0
0.1,500,FALSE,88,183,0
0.1,500,FALSE,89,171,0
0.1,500,FALSE,90,179,0
0.1,500,FALSE,91,182,0
0.1,500,FALSE,92,180,0
0.1,500,FALSE,93,173,1
0.1,500,FALSE,94,179,0
0.1,500,FALSE,95,179,0
