"rho","median_N","selected","rep","rule","n","portfolio","conditioned","condition_number","attainment","median_ratio"
0.1,100,FALSE,5,"original_size",122,-0.317046236475279,-0.00720293843243704,66.1919428092555,0.0819672131147541,0.162056221979886
0.1,100,FALSE,5,"capped_safeguard",122,-0.005027720975307,-0.0887950939735816,66.1919428092555,0.10655737704918,0.290516915391088
0.1,100,FALSE,6,"point",129,-0.0212681603851045,-0.00720913016436901,57.3440696211408,0,0.235849056603774
0.1,100,FALSE,6,"safeguard",129,0.978774138601978,0.99282526498472,57.3440696211408,0.496124031007752,0.994573260976813
0.1,100,FALSE,6,"original_size",129,-0.394371916284276,-0.00732416534240212,57.3440696211408,0.0697674418604651,0.172072072072072
0.1,100,FALSE,6,"capped_safeguard",129,-0.0179473930344747,-0.109739175634396,57.3440696211408,0.13953488372093,0.432525951557093
0.1,100,FALSE,7,"point",123,0.0100307468247161,0.0100073256229976,62.4103281838209,0,0.246884272997033
0.1,100,FALSE,7,"safeguard",123,1.01002866797288,1.01004130651651,62.4103281838209,0.51219512195122,1.00067395925139
0.1,100,FALSE,7,"original_size",123,-0.23931296698462,0.0102910224247421,62.4103281838209,0.0731707317073171,0.177069199457259
0.1,100,FALSE,7,"capped_safeguard",123,-0.00470972992588757,-0.084477128926271,62.4103281838209,0.0813008130081301,0.31055900621118
0.1,100,FALSE,8,"point",132,-0.00342837637550143,0.0150037555294084,61.6244591840658,0,0.232793769493818
0.1,100,FALSE,8,"safeguard",132,0.996523913180903,1.01501144439219,61.6244591840658,0.46969696969697,0.98916160875075
0.1,100,FALSE,8,"original_size",132,-0.461213902432189,0.0152701902193045,61.6244591840658,0.0681818181818182,0.166532181388739
0.1,100,FALSE,8,"capped_safeguard",132,-0.0146501570270664,-0.149484154991082,61.6244591840658,0.0984848484848485,0.360178275290216
0.1,100,FALSE,9,"point",117,0.0138184419211349,0.0224837076312895,60.4438316196603,0,0.23951182303585
0.1,100,FALSE,9,"safeguard",117,1.01380912667175,1.02247818263847,60.4438316196603,0.555555555555556,1.01098901098901
0.1,100,FALSE,9,"original_size",117,-0.267579745065766,0.0223784680132917,60.4438316196603,0.102564102564103,0.168573607932876
0.1,100,FALSE,9,"capped_safeguard",117,-0.0258151012738511,-0.0783361507811846,60.4438316196603,0.145299145299145,0.376789751318764
0.1,100,FALSE,10,"point",123,-0.0100032723539436,-0.0338660638068502,63.1688772798913,0,0.230769230769231
0.1,100,FALSE,10,"safeguard",123,0.990018217519864,0.966299978247574,63.1688772798913,0.463414634146341,0.978476473533735
0.1,100,FALSE,10,"original_size",123,-0.400505835466211,-0.0337788153867554,63.1688772798913,0.0813008130081301,0.159839357429719
0.1,100,FALSE,10,"capped_safeguard",123,-0.0203153806292294,-0.137284032054639,63.1688772798913,0.113821138211382,0.325309043591412
0.1,100,FALSE,11,"point",136,0.00301346470785676,-0.003772076078782,64.3366438711935,0,0.209732301241735
0.1,100,FALSE,11,"safeguard",136,1.00295882638686,0.996128089033549,64.3366438711935,0.566176470588235,1.02187430971614
0.1,100,FALSE,11,"original_size",136,-0.233987604893218,-0.00383034857890746,64.3366438711935,0.110294117647059,0.137347609264271
0.1,100,FALSE,11,"capped_safeguard",136,-0.0138350078783797,-0.0671331873999192,64.3366438711935,0.132352941176471,0.276066076689694
0.1,100,FALSE,12,"point",122,0.00126943334532406,-0.00449246171211934,57.0536937073195,0,0.212597528910708
0.1,100,FALSE,12,"safeguard",122,1.00125197188985,0.995676099047598,57.0536937073195,0.450819672131148,0.989787367152743
0.1,100,FALSE,12,"original_size",122,-0.344812737631021,-0.00450072223812553,57.0536937073195,0.10655737704918,0.142704319103148
0.1,100,FALSE,12,"capped_safeguard",122,-0.0179105702558963,-0.0928515354468241,57.0536937073195,0.122950819672131,0.311448340507024
0.1,100,FALSE,13,"point",124,-0.00666578857861262,-0.0155145543495719,62.1668260527544,0,0.206916494564782
0.1,100,FALSE,13,"safeguard",124,0.993371165981577,0.984695973762321,62.1668260527544,0.5,0.999078782518977
0.1,100,FALSE,13,"original_size",124,-0.385127653961475,-0.0153615175668275,62.1668260527544,0.0645161290322581,0.118992424242424
0.1,100,FALSE,13,"capped_safeguard",124,0.00767535423548113,-0.0995636374192583,62.1668260527544,0.104838709677419,0.275141665788636
